date,ticker,price,volume
2025-01-01,PLTR,40.640165596744254,38257
2025-01-02,PLTR,40.59906899730712,32530
2025-01-03,PLTR,40.68727907890572,21041
2025-01-04,PLTR,40.27537114210722,25998
2025-01-05,PLTR,39.838855908095795,46380
2025-01-06,PLTR,37.96930826512846,35228
2025-01-07,PLTR,37.016828375643854,40036
2025-01-08,PLTR,35.76988905333528,30243
2025-01-09,PLTR,35.32313957659161,43901
2025-01-10,PLTR,35.53710477901413,49731
2025-01-11,PLTR,35.766697269441345,30727
2025-01-12,PLTR,36.76077232803247,23675
2025-01-13,PLTR,36.50032483533231,43625
2025-01-14,PLTR,36.57816418546737,10114
2025-01-15,PLTR,36.601457359675585,37910
2025-01-16,PLTR,36.55844684865412,14939
2025-01-17,PLTR,36.53019367510463,17241
2025-01-18,PLTR,36.66703739068663,20478
2025-01-19,PLTR,37.84629206825616,29637
2025-01-20,PLTR,37.50804536477452,35303
2025-01-21,PLTR,38.29471675303128,36683
2025-01-22,PLTR,38.08579369993195,49960
2025-01-23,PLTR,37.423720860548585,40687
2025-01-24,PLTR,37.1081303507752,32983
2025-01-25,PLTR,36.98323396695613,20488
2025-01-26,PLTR,38.76565553283548,24119
2025-01-27,PLTR,38.42212702828365,44061
2025-01-28,PLTR,37.616669029611856,33117
2025-01-29,PLTR,39.05597350196193,41411
2025-01-30,PLTR,39.032352073112,29834
