date,ticker,price,volume
2025-01-01,PLTR,40.37460766248144,27987
2025-01-02,PLTR,40.09675526822478,26740
2025-01-03,PLTR,40.87985769581303,18643
2025-01-04,PLTR,39.80520579404164,32402
2025-01-05,PLTR,40.88741002780785,29933
2025-01-06,PLTR,40.23088051081178,47003
2025-01-07,PLTR,38.702187244550466,36142
2025-01-08,PLTR,37.8397179197316,28395
2025-01-09,PLTR,37.211594031949666,39957
2025-01-10,PLTR,37.348239057267875,27127
2025-01-11,PLTR,37.75082985610267,29987
2025-01-12,PLTR,38.328031625653054,33759
2025-01-13,PLTR,38.14313984296017,12935
2025-01-14,PLTR,37.64834004087288,13613
2025-01-15,PLTR,35.922657795113224,21390
2025-01-16,PLTR,36.594296832780714,40282
2025-01-17,PLTR,35.40309990032412,18992
2025-01-18,PLTR,36.54944544454714,24436
2025-01-19,PLTR,35.98125520861366,35660
2025-01-20,PLTR,37.300561645788875,44001
2025-01-21,PLTR,38.17744262153152,22975
2025-01-22,PLTR,38.08784439991212,23283
2025-01-23,PLTR,38.87479763323004,30158
2025-01-24,PLTR,39.17131844427108,41117
2025-01-25,PLTR,38.75248287037155,13171
2025-01-26,PLTR,39.084238265847084,25108
2025-01-27,PLTR,39.517521495006065,12376
2025-01-28,PLTR,38.56444956633088,27989
2025-01-29,PLTR,39.413967161655975,15763
2025-01-30,PLTR,40.71182292150614,48054
